Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,12.850,26.322,29.650,29.650
2006-01-01 00:10:00,12.770,26.106,28.152,28.152
2006-01-01 00:20:00,13.250,27.468,27.298,27.298
2006-01-01 00:30:00,13.380,27.816,29.060,29.060
2006-01-01 00:40:00,13.360,27.768,28.079,28.079
2006-01-01 00:50:00,13.280,27.534,29.801,29.801
2006-01-01 01:00:00,13.230,27.408,30.000,30.000
2006-01-01 01:10:00,13.620,28.425,27.969,27.969
2006-01-01 01:20:00,13.760,28.611,30.000,30.000
2006-01-01 01:30:00,13.970,28.860,28.483,28.483
2006-01-01 01:40:00,14.260,29.223,28.976,28.976
2006-01-01 01:50:00,12.910,26.535,27.642,27.642
2006-01-01 02:00:00,13.900,28.791,29.896,29.896
2006-01-01 02:10:00,15.600,29.937,30.000,30.000
2006-01-01 02:20:00,15.100,29.796,30.000,30.000
2006-01-01 02:30:00,16.010,29.967,30.000,30.000
2006-01-01 02:40:00,14.710,29.682,29.230,29.230
2006-01-01 02:50:00,14.850,29.721,29.262,29.262
2006-01-01 03:00:00,15.700,29.952,30.000,30.000
2006-01-01 03:10:00,15.460,29.898,30.000,30.000
2006-01-01 03:20:00,14.850,29.724,30.000,30.000
2006-01-01 03:30:00,14.600,29.649,28.540,28.540
2006-01-01 03:40:00,14.750,29.694,30.000,30.000
2006-01-01 03:50:00,15.790,29.958,30.000,30.000
2006-01-01 04:00:00,15.420,29.886,30.000,30.000
2006-01-01 04:10:00,15.630,29.949,30.000,30.000
2006-01-01 04:20:00,16.200,29.976,29.606,29.606
2006-01-01 04:30:00,16.010,29.967,30.000,30.000
2006-01-01 04:40:00,15.480,29.907,30.000,30.000
2006-01-01 04:50:00,15.570,29.934,28.539,28.539
2006-01-01 05:00:00,15.590,29.937,30.000,30.000
2006-01-01 05:10:00,15.490,29.910,29.936,29.936
2006-01-01 05:20:00,15.700,29.955,30.000,30.000
2006-01-01 05:30:00,15.840,29.961,30.000,30.000
2006-01-01 05:40:00,16.420,29.988,27.593,27.593
2006-01-01 05:50:00,16.530,29.994,30.000,30.000
2006-01-01 06:00:00,16.330,29.985,29.424,29.424
2006-01-01 06:10:00,16.010,29.970,30.000,30.000
2006-01-01 06:20:00,15.590,29.940,29.028,29.028
2006-01-01 06:30:00,15.440,29.898,30.000,30.000
2006-01-01 06:40:00,15.270,29.850,30.000,30.000
2006-01-01 06:50:00,14.660,29.673,30.000,30.000
2006-01-01 07:00:00,14.690,29.682,27.870,27.870
2006-01-01 07:10:00,14.450,29.490,30.000,30.000
2006-01-01 07:20:00,14.410,29.442,30.000,30.000
2006-01-01 07:30:00,14.200,29.181,29.181,29.181
2006-01-01 07:40:00,14.430,29.466,30.000,30.000
2006-01-01 07:50:00,14.980,29.766,30.000,30.000
2006-01-01 08:00:00,15.650,29.952,30.000,30.000
2006-01-01 08:10:00,15.810,29.958,29.011,29.011
2006-01-01 08:20:00,15.870,29.961,30.000,30.000
2006-01-01 08:30:00,15.220,29.832,30.000,30.000
2006-01-01 08:40:00,15.660,29.952,30.000,30.000
2006-01-01 08:50:00,15.870,29.961,30.000,30.000
2006-01-01 09:00:00,16.420,29.988,30.000,30.000
2006-01-01 09:10:00,16.880,30.000,28.528,28.528
2006-01-01 09:20:00,16.830,30.000,30.000,30.000
2006-01-01 09:30:00,17.250,30.000,30.000,30.000
2006-01-01 09:40:00,17.290,30.000,27.978,27.978
2006-01-01 09:50:00,17.760,30.000,27.942,27.942
2006-01-01 10:00:00,18.230,30.000,29.249,29.249
2006-01-01 10:10:00,18.440,30.000,28.438,28.438
2006-01-01 10:20:00,18.100,30.000,30.000,30.000
2006-01-01 10:30:00,17.770,30.000,30.000,30.000
2006-01-01 10:40:00,16.990,30.000,29.072,29.072
2006-01-01 10:50:00,16.200,29.976,30.000,30.000
2006-01-01 11:00:00,15.800,29.958,30.000,30.000
2006-01-01 11:10:00,14.900,29.736,29.050,29.050
2006-01-01 11:20:00,12.850,26.382,27.642,27.642
2006-01-01 11:30:00,9.410,12.801,16.514,16.514
2006-01-01 11:40:00,6.140, 3.336, 3.023,3.023
2006-01-01 11:50:00,4.600, 1.230, 2.257,2.257
2006-01-01 12:00:00,3.940, 0.594, 0.000,0.000
2006-01-01 12:10:00,4.450, 1.059, 0.000,0.000
2006-01-01 12:20:00,5.490, 2.310, 2.707,2.707
2006-01-01 12:30:00,5.940, 3.018, 3.027,3.027
2006-01-01 12:40:00,5.420, 2.205, 2.278,2.278
2006-01-01 12:50:00,2.870, 0.000, 0.000,0.000
2006-01-01 13:00:00,3.640, 0.375, 1.436,1.436
2006-01-01 13:10:00,4.780, 1.425, 1.370,1.370
2006-01-01 13:20:00,5.230, 1.911, 1.902,1.902
2006-01-01 13:30:00,4.820, 1.470, 1.366,1.366
2006-01-01 13:40:00,4.030, 0.666, 0.501,0.501
2006-01-01 13:50:00,3.210, 0.060, 0.022,0.022
2006-01-01 14:00:00,2.010, 0.000, 0.000,0.000
2006-01-01 14:10:00,1.810, 0.000, 0.000,0.000
2006-01-01 14:20:00,3.000, 0.000, 0.000,0.000
2006-01-01 14:30:00,5.830, 2.838, 2.027,2.027
2006-01-01 14:40:00,9.690,13.920,13.242,13.242
2006-01-01 14:50:00,12.090,23.709,22.781,22.781
2006-01-01 15:00:00,13.840,28.671,30.000,30.000
2006-01-01 15:10:00,14.920,29.733,29.290,29.290
2006-01-01 15:20:00,15.040,29.766,29.227,29.227
2006-01-01 15:30:00,14.430,29.406,26.487,26.487
2006-01-01 15:40:00,13.600,28.392,27.683,27.683
2006-01-01 15:50:00,14.010,28.893,28.387,28.387
2006-01-01 16:00:00,15.110,29.790,30.000,30.000
2006-01-01 16:10:00,15.700,29.952,30.000,30.000
2006-01-01 16:20:00,16.650,29.997,30.000,30.000
2006-01-01 16:30:00,16.880,30.000,30.000,30.000
2006-01-01 16:40:00,17.110,30.000,29.100,29.100
2006-01-01 16:50:00,19.020,30.000,30.000,30.000
2006-01-01 17:00:00,19.890,30.000,29.317,29.317
2006-01-01 17:10:00,19.360,30.000,28.619,28.619
2006-01-01 17:20:00,19.250,30.000,30.000,30.000
2006-01-01 17:30:00,18.420,30.000,29.584,29.584
2006-01-01 17:40:00,17.140,30.000,29.888,29.888
2006-01-01 17:50:00,16.210,29.973,30.000,30.000
2006-01-01 18:00:00,14.540,29.478,30.000,30.000
2006-01-01 18:10:00,12.990,26.556,25.939,25.939
2006-01-01 18:20:00,10.900,18.798,22.289,22.289
2006-01-01 18:30:00,10.550,17.358,17.683,17.683
2006-01-01 18:40:00,9.860,14.505,15.705,15.705
2006-01-01 18:50:00,9.510,13.068,14.719,14.719
2006-01-01 19:00:00,10.210,15.951,14.058,14.058
2006-01-01 19:10:00,11.140,19.803,22.598,22.598
2006-01-01 19:20:00,12.400,24.729,24.935,24.935
2006-01-01 19:30:00,13.630,28.347,28.060,28.060
2006-01-01 19:40:00,13.920,28.701,28.436,28.436
2006-01-01 19:50:00,13.980,28.779,30.000,30.000
2006-01-01 20:00:00,14.130,28.956,30.000,30.000
2006-01-01 20:10:00,14.430,29.325,29.270,29.270
2006-01-01 20:20:00,14.680,29.634,29.685,29.685
2006-01-01 20:30:00,14.610,29.550,29.437,29.437
2006-01-01 20:40:00,15.260,29.817,30.000,30.000
2006-01-01 20:50:00,14.060,28.896,29.474,29.474
2006-01-01 21:00:00,12.960,26.511,25.462,25.462
2006-01-01 21:10:00,12.500,25.161,23.225,23.225
2006-01-01 21:20:00,14.850,29.706,30.000,30.000
2006-01-01 21:30:00,11.700,22.236,20.685,20.685
2006-01-01 21:40:00,14.900,29.724,28.413,28.413
2006-01-01 21:50:00,15.350,29.844,29.409,29.409
2006-01-01 22:00:00,15.350,29.847,30.000,30.000
2006-01-01 22:10:00,14.800,29.691,29.700,29.700
2006-01-01 22:20:00,13.950,28.779,27.897,27.897
2006-01-01 22:30:00,13.180,27.165,28.526,28.526
2006-01-01 22:40:00,13.420,27.855,27.679,27.679
2006-01-01 22:50:00,12.510,25.293,26.058,26.058
2006-01-01 23:00:00,12.470,25.140,25.749,25.749
2006-01-01 23:10:00,13.200,27.306,27.523,27.523
2006-01-01 23:20:00,14.760,29.691,30.000,30.000
2006-01-01 23:30:00,12.650,25.815,25.169,25.169
2006-01-01 23:40:00,11.290,20.646,20.334,20.334
2006-01-01 23:50:00,11.600,22.005,21.259,21.259
2006-01-02 00:00:00,13.020,26.868,28.586,28.586
2006-01-02 00:10:00,13.690,28.527,28.849,28.849
2006-01-02 00:20:00,13.080,27.012,24.271,24.271
2006-01-02 00:30:00,13.630,28.455,30.000,30.000
2006-01-02 00:40:00,13.220,27.471,25.277,25.277
2006-01-02 00:50:00,14.210,29.172,30.000,30.000
2006-01-02 01:00:00,14.150,29.091,29.846,29.846
2006-01-02 01:10:00,14.570,29.595,30.000,30.000
2006-01-02 01:20:00,15.610,29.937,28.537,28.537
2006-01-02 01:30:00,15.270,29.841,30.000,30.000
2006-01-02 01:40:00,15.070,29.781,27.424,27.424
2006-01-02 01:50:00,16.040,29.967,29.806,29.806
2006-01-02 02:00:00,16.890,30.000,30.000,30.000
2006-01-02 02:10:00,16.800,30.000,29.000,29.000
2006-01-02 02:20:00,16.990,30.000,30.000,30.000
2006-01-02 02:30:00,16.630,29.997,30.000,30.000
2006-01-02 02:40:00,16.030,29.967,28.436,28.436
2006-01-02 02:50:00,15.720,29.952,29.817,29.817
2006-01-02 03:00:00,15.450,29.892,30.000,30.000
2006-01-02 03:10:00,14.220,29.160,29.777,29.777
2006-01-02 03:20:00,13.120,27.075,27.505,27.505
2006-01-02 03:30:00,13.180,27.264,30.000,30.000
2006-01-02 03:40:00,13.370,27.810,25.736,25.736
2006-01-02 03:50:00,13.350,27.753,25.840,25.840
2006-01-02 04:00:00,13.410,27.912,30.000,30.000
2006-01-02 04:10:00,13.030,26.844,27.300,27.300
2006-01-02 04:20:00,12.790,26.172,26.503,26.503
2006-01-02 04:30:00,13.270,27.525,27.165,27.165
2006-01-02 04:40:00,14.310,29.271,28.704,28.704
2006-01-02 04:50:00,14.870,29.721,30.000,30.000
2006-01-02 05:00:00,14.600,29.628,30.000,30.000
2006-01-02 05:10:00,14.460,29.469,29.497,29.497
2006-01-02 05:20:00,15.290,29.847,28.627,28.627
2006-01-02 05:30:00,15.080,29.787,29.918,29.918
2006-01-02 05:40:00,15.040,29.778,29.625,29.625
2006-01-02 05:50:00,14.760,29.700,30.000,30.000
2006-01-02 06:00:00,14.560,29.610,29.221,29.221
2006-01-02 06:10:00,14.320,29.313,30.000,30.000
2006-01-02 06:20:00,15.330,29.862,29.196,29.196
2006-01-02 06:30:00,15.200,29.823,30.000,30.000
2006-01-02 06:40:00,14.880,29.730,30.000,30.000
2006-01-02 06:50:00,14.700,29.679,29.987,29.987
2006-01-02 07:00:00,14.870,29.730,29.483,29.483
2006-01-02 07:10:00,15.190,29.823,29.671,29.671
2006-01-02 07:20:00,15.260,29.841,29.904,29.904
2006-01-02 07:30:00,15.600,29.940,28.892,28.892
2006-01-02 07:40:00,14.790,29.706,29.253,29.253
2006-01-02 07:50:00,12.900,26.553,26.345,26.345
2006-01-02 08:00:00,13.440,28.074,28.105,28.105
2006-01-02 08:10:00,13.440,28.065,29.787,29.787
2006-01-02 08:20:00,13.210,27.441,26.838,26.838
2006-01-02 08:30:00,12.850,26.421,25.902,25.902
2006-01-02 08:40:00,11.810,22.833,23.712,23.712
2006-01-02 08:50:00,11.300,20.811,22.030,22.030
2006-01-02 09:00:00,11.350,21.027,21.917,21.917
2006-01-02 09:10:00,10.800,18.732,20.853,20.853
2006-01-02 09:20:00,10.250,16.425,14.537,14.537
2006-01-02 09:30:00,10.730,18.447,21.740,21.740
2006-01-02 09:40:00,11.270,20.709,21.866,21.866
2006-01-02 09:50:00,11.910,23.202,25.093,25.093
2006-01-02 10:00:00,12.590,25.725,26.177,26.177
2006-01-02 10:10:00,12.820,26.376,26.870,26.870
2006-01-02 10:20:00,12.870,26.496,25.426,25.426
2006-01-02 10:30:00,12.990,26.826,26.705,26.705
2006-01-02 10:40:00,13.590,28.428,28.073,28.073
2006-01-02 10:50:00,13.490,28.227,30.000,30.000
2006-01-02 11:00:00,13.340,27.816,28.625,28.625
2006-01-02 11:10:00,13.220,27.486,25.573,25.573
2006-01-02 11:20:00,12.990,26.823,26.513,26.513
2006-01-02 11:30:00,13.090,27.105,28.810,28.810
2006-01-02 11:40:00,13.090,27.117,25.315,25.315
2006-01-02 11:50:00,13.250,27.588,28.851,28.851
2006-01-02 12:00:00,13.180,27.363,28.581,28.581
2006-01-02 12:10:00,12.700,26.022,24.515,24.515
2006-01-02 12:20:00,12.380,25.017,26.003,26.003
2006-01-02 12:30:00,12.200,24.306,23.195,23.195
2006-01-02 12:40:00,12.030,23.649,24.077,24.077
2006-01-02 12:50:00,11.740,22.569,24.720,24.720
2006-01-02 13:00:00,11.610,22.056,22.551,22.551
2006-01-02 13:10:00,11.380,21.180,18.677,18.677
2006-01-02 13:20:00,10.920,19.263,22.578,22.578
2006-01-02 13:30:00,10.460,17.310,17.780,17.780
2006-01-02 13:40:00,9.820,14.634,14.568,14.568
2006-01-02 13:50:00,9.430,13.017,13.815,13.815
2006-01-02 14:00:00,9.290,12.447,15.198,15.198
2006-01-02 14:10:00,8.990,11.349,11.176,11.176
2006-01-02 14:20:00,8.710,10.317, 7.495,7.495
2006-01-02 14:30:00,8.410, 9.174, 7.629,7.629
2006-01-02 14:40:00,8.180, 8.457, 8.450,8.450
2006-01-02 14:50:00,8.190, 8.466, 7.222,7.222
2006-01-02 15:00:00,8.170, 8.412, 8.656,8.656
2006-01-02 15:10:00,8.000, 7.926, 7.959,7.959
2006-01-02 15:20:00,7.940, 7.755, 6.698,6.698
2006-01-02 15:30:00,7.940, 7.740, 7.141,7.141
2006-01-02 15:40:00,8.270, 8.730, 7.450,7.450
2006-01-02 15:50:00,8.530, 9.669, 9.671,9.671
2006-01-02 16:00:00,8.470, 9.444, 9.209,9.209
2006-01-02 16:10:00,8.360, 9.018, 7.922,7.922
2006-01-02 16:20:00,8.420, 9.258, 9.198,9.198
2006-01-02 16:30:00,8.140, 8.346, 6.879,6.879
2006-01-02 16:40:00,7.530, 6.564, 5.325,5.325
2006-01-02 16:50:00,6.900, 4.986, 4.011,4.011
2006-01-02 17:00:00,6.860, 4.911, 4.832,4.832
